time;queue_size;split_tree;new_tree;new_tree_length;new_tree_prediction;new_tree_objective;best_tree;best_tree_length;prediction;objective;lower_bound;accuracy;num_captured;num_captured_incorrect
0.018845081329345703;1;;((-1,), (1,));2;[0, 1];0.47707253510930936;((-1,), (1,));2;[0, 1];0.47707253510930936;[0.06415810047777618, 0.43291443463153323];0.5429274648906907;[6258, 649];[2852, 305]
0.03745722770690918;2;;((-2,), (2,));2;[0, 1];0.4777964383958303;((-1,), (1,));2;[0, 1];0.47707253510930936;[0.06415810047777618, 0.43291443463153323];0.5429274648906907;[6258, 649];[2852, 305]
0.05528450012207031;3;;((-3,), (3,));2;[0, 1];0.3810829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.06765604019165039;3;((-3,), (3,));((3,), (-3, -1), (-3, 1));3;[1, 0, 0];0.39108295931663534;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.08008742332458496;4;((-3,), (3,));((3,), (-3, -2), (-3, 2));3;[1, 0, 0];0.39108295931663534;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.08615875244140625;5;((-3,), (3,));((-3,), (3, -1), (3, 1));3;[0, 1, 1];0.3910829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.09421515464782715;6;((-3,), (3,));((-3,), (3, -2), (3, 2));3;[0, 1, 1];0.3910829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.10028910636901855;6;((3,), (-3, -1), (-3, 1));((-3, -1), (-3, 1), (3, -1), (3, 1));4;[0, 0, 1, 1];0.4010829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.10646557807922363;7;((3,), (-3, -1), (-3, 1));((-3, -1), (-3, 1), (3, -2), (3, 2));4;[0, 0, 1, 1];0.4010829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.11754679679870605;8;((3,), (-3, -1), (-3, 1));((3,), (-3, 1), (-3, -1, -2), (-3, -1, 2));4;[1, 0, 0, 0];0.40108295931663535;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.11949658393859863;9;((3,), (-3, -1), (-3, 1));((3,), (-3, -1), (-3, 1, -2), (-3, 1, 2));4;[1, 0, 0, 0];0.40108295931663535;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.12560772895812988;9;((3,), (-3, -2), (-3, 2));((-3, -2), (-3, 2), (3, -1), (3, 1));4;[0, 0, 1, 1];0.4010829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.13158965110778809;10;((3,), (-3, -2), (-3, 2));((-3, -2), (-3, 2), (3, -2), (3, 2));4;[0, 0, 1, 1];0.4010829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.142930269241333;11;((3,), (-3, -2), (-3, 2));((3,), (-3, 2), (-3, -2, -1), (-3, -2, 1));4;[1, 0, 0, 0];0.40108295931663535;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.14522695541381836;12;((3,), (-3, -2), (-3, 2));((3,), (-3, -2), (-3, 2, -1), (-3, 2, 1));4;[1, 0, 0, 0];0.40108295931663535;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.15656161308288574;12;((-3, -1), (-3, 1), (3, -1), (3, 1));((-3, 1), (3, -1), (3, 1), (-3, -1, -2), (-3, -1, 2));5;[0, 1, 1, 0, 0];0.41108295931663535;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.15858840942382812;13;((-3, -1), (-3, 1), (3, -1), (3, 1));((-3, -1), (3, -1), (3, 1), (-3, 1, -2), (-3, 1, 2));5;[0, 1, 1, 0, 0];0.4110829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.17003512382507324;13;((-3, -1), (-3, 1), (3, -2), (3, 2));((-3, 1), (3, -2), (3, 2), (-3, -1, -2), (-3, -1, 2));5;[0, 1, 1, 0, 0];0.41108295931663535;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.17199087142944336;14;((-3, -1), (-3, 1), (3, -2), (3, 2));((-3, -1), (3, -2), (3, 2), (-3, 1, -2), (-3, 1, 2));5;[0, 1, 1, 0, 0];0.4110829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.1782379150390625;14;((3,), (-3, 1), (-3, -1, -2), (-3, -1, 2));((-3, 1), (-3, -1, -2), (-3, -1, 2), (3, -1), (3, 1));5;[0, 0, 0, 1, 1];0.41108295931663535;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.18438076972961426;15;((3,), (-3, 1), (-3, -1, -2), (-3, -1, 2));((-3, 1), (-3, -1, -2), (-3, -1, 2), (3, -2), (3, 2));5;[0, 0, 0, 1, 1];0.41108295931663535;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.18631505966186523;16;((3,), (-3, 1), (-3, -1, -2), (-3, -1, 2));((3,), (-3, -1, -2), (-3, -1, 2), (-3, 1, -2), (-3, 1, 2));5;[1, 0, 0, 0, 0];0.41108295931663535;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.19255518913269043;16;((3,), (-3, 2), (-3, -2, -1), (-3, -2, 1));((-3, 2), (-3, -2, -1), (-3, -2, 1), (3, -1), (3, 1));5;[0, 0, 0, 1, 1];0.4110829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.19874095916748047;17;((3,), (-3, 2), (-3, -2, -1), (-3, -2, 1));((-3, 2), (-3, -2, -1), (-3, -2, 1), (3, -2), (3, 2));5;[0, 0, 0, 1, 1];0.4110829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.2014620304107666;18;((3,), (-3, 2), (-3, -2, -1), (-3, -2, 1));((3,), (-3, -2, -1), (-3, -2, 1), (-3, 2, -1), (-3, 2, 1));5;[1, 0, 0, 0, 0];0.41108295931663535;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.21378874778747559;16;((-3, -2), (-3, 2), (3, -2), (3, 2));((-3, 2), (3, -2), (3, 2), (-3, -2, -1), (-3, -2, 1));5;[0, 1, 1, 0, 0];0.4110829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.21608638763427734;17;((-3, -2), (-3, 2), (3, -2), (3, 2));((-3, -2), (3, -2), (3, 2), (-3, 2, -1), (-3, 2, 1));5;[0, 1, 1, 0, 0];0.4110829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.22808289527893066;17;((-3, -2), (-3, 2), (3, -1), (3, 1));((-3, 2), (3, -1), (3, 1), (-3, -2, -1), (-3, -2, 1));5;[0, 1, 1, 0, 0];0.4110829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
0.2303621768951416;18;((-3, -2), (-3, 2), (3, -1), (3, 1));((-3, -2), (3, -1), (3, 1), (-3, 2, -1), (-3, 2, 1));5;[0, 1, 1, 0, 0];0.4110829593166353;((-3,), (3,));2;[0, 1];0.3810829593166353;[0.12655856377587954, 0.27452439554075575];0.6389170406833647;[4733, 2174];[1758, 736]
